bilstm,+,0,1,2,NA,NO
+,289,12,4,0,8,102
0,8,255,4,0,3,39
1,7,1,48,1,0,15
2,0,0,0,0,1,0
NA,9,4,0,0,34116,722
NO,63,20,10,0,568,9788
