bilstm,AdvP,NP,NP_NP,NP_PP,NP_Punct,PP,PP_Punct,PRT,Punct,S,VP,nil
AdvP,60,0,0,0,0,0,0,0,0,0,0,12
NP,0,10,0,0,1,0,0,0,0,0,0,1
NP_NP,0,0,0,0,0,0,0,0,0,0,0,0
NP_PP,0,0,0,0,0,0,0,0,0,0,0,0
NP_Punct,0,1,0,0,3,0,0,0,0,0,0,0
PP,0,0,0,0,0,14,0,0,0,0,0,7
PP_Punct,0,0,0,0,0,0,0,0,0,0,0,0
PRT,0,0,0,0,0,0,0,0,0,0,0,0
Punct,0,0,0,0,0,0,0,0,101,0,0,5
S,0,0,0,0,0,0,0,0,0,15,0,4
VP,0,0,0,0,0,0,0,0,0,0,1,1
nil,21,27,1,1,0,20,3,1,9,18,9,45751
