bilstm,+,0,1,2,NA,NO
+,293,10,4,0,7,57
0,4,259,0,0,4,20
1,3,0,54,1,1,6
2,0,0,0,0,0,0
NA,7,2,0,0,34103,490
NO,69,21,8,0,596,10098
