bilstm,$,'',-HASHTAG-,-LRB-,-RRB-,.,A,AP,Ad,AdvP,CC,CONJP,Comp,D,FRAG,FW,G,IN,INTJ,LST,MD,N,NP,NPP,PDT,POS,PP,PRN,PRT,Punct,QP,RP,RRC,S,SYM,TO,UCP,V,VP,X,``
Comp,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
D,0,0,0,0,0,0,7,2,3,1,1,0,0,3850,0,0,0,3,0,0,0,6,5,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
FRAG,0,0,0,0,0,0,0,0,0,2,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,1,0
FW,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
G,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,405,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
IN,0,0,0,0,0,0,1,0,17,11,0,0,0,7,0,1,0,1230,0,0,0,0,9,0,0,0,164,0,3,0,0,0,0,3,0,2,0,0,0,0,0
INTJ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LST,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MD,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,402,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
N,0,1,0,0,0,0,105,6,1,0,0,0,0,4,0,0,0,1,0,0,0,4948,115,0,0,0,0,0,0,0,2,0,0,7,0,0,1,19,2,1,0
NP,0,0,0,0,0,0,9,10,6,17,0,0,0,11,45,0,2,3,0,2,1,90,11593,2,0,0,1,0,0,1,2,0,2,45,0,0,1,6,8,0,0
NPP,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,379,0,5,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
PDT,0,0,0,0,0,0,4,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
POS,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,7,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
PP,0,0,0,0,0,0,0,0,1,12,1,1,0,0,0,0,0,240,0,0,0,0,1,0,0,0,3531,0,0,0,6,0,0,17,0,3,2,0,3,0,0
PRN,0,0,0,6,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,112,0,26,0,0,0,1,0,0,0,0,0,0,0
PRT,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Punct,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,59,0,2614,0,0,0,0,0,0,0,0,0,0,0
QP,0,0,0,0,0,0,1,2,5,0,0,0,0,1,0,0,0,0,0,0,0,2,1,0,0,0,3,0,0,0,103,1,0,1,0,0,0,0,0,0,0
RP,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
RRC,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
S,0,2,0,0,0,2,13,9,2,7,0,0,0,0,0,0,0,4,0,0,0,11,31,0,0,0,17,6,0,0,1,0,0,4328,0,0,1,36,37,0,0
SYM,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
TO,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,601,0,0,0,0,0
UCP,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2,3,0,0,0,0,0,0,0,0,0,0,2,0,0,3,0,0,0,0
V,0,0,0,0,0,0,25,1,0,0,0,0,0,0,0,0,0,1,0,0,0,19,1,0,0,1,0,0,0,0,0,0,0,35,0,0,0,1614,6,0,0
VP,0,0,0,0,0,0,1,4,0,1,0,0,0,0,0,0,0,0,0,0,0,3,3,0,0,0,6,1,0,0,0,0,3,36,0,0,1,4,367,0,0
X,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
``,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,402
