bilstm,AdvP,NP,NP_NP,NP_PP,NP_Punct,PP,PP_Punct,PRT,Punct,S,VP,nil
AdvP,75,0,0,0,0,0,0,0,0,0,0,2
NP,0,19,0,0,0,0,0,0,0,1,0,1
NP_NP,0,0,0,0,0,0,0,0,0,0,0,0
NP_PP,0,0,0,0,0,0,0,0,0,0,0,0
NP_Punct,0,1,0,0,4,0,0,0,0,0,0,0
PP,0,0,0,0,0,21,0,0,0,0,0,3
PP_Punct,0,0,0,0,0,0,0,0,0,0,0,0
PRT,0,0,0,0,0,0,0,0,0,0,0,0
Punct,0,0,0,0,0,0,0,0,103,0,0,6
S,0,0,0,0,0,0,0,0,0,20,0,7
VP,0,0,0,0,0,0,0,0,0,0,2,1
nil,5,18,1,1,0,13,3,1,7,12,8,45765
